ANHO,MES,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SECTOR,CATEGORIA,CO_IPRESS,RAZON_SOC,CA_CONSULTORIOS,CA_CONSULTORIOS_FN,CA_CAMAS,CA_MEDICOS_TOTAL,CA_MEDICOS_SERUM,CA_MEDICOS_RESIDENTES,CA_ENFERMERAS,CA_ODONTOLOGOS,CA_PSICOLOGOS,CA_NUTRICIONISTAS,CA_TECNOLOGOS_MEDICOS,CA_OBSTETRICES,CA_FARMACEUTICOS,CA_AUXILIARES,CA_OTROS_PROF,CA_AMBULANCIAS
2019,4,60702,CAJAMARCA,HUALGAYOC,CHUGUR,GOBIERNO REGIONAL,I-3,4802,CHUGUR,4,8,0,1,1,0,2,1,0,0,0,1,0,3,1,1
2019,4,90204,HUANCAVELICA,ACOBAMBA,CAJA,GOBIERNO REGIONAL,I-1,7389,PUESTO DE SALUD RURUNMARCA,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,PRIVADO,II-1,12301,CLINICA SAN ANTONIO,20,60,36,58,0,0,13,2,2,1,5,0,2,12,26,1
2019,4,90204,HUANCAVELICA,ACOBAMBA,CAJA,GOBIERNO REGIONAL,I-1,3927,PUESTO DE SALUD POMACANCHA,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,90205,HUANCAVELICA,ACOBAMBA,MARCAS,GOBIERNO REGIONAL,I-1,11220,PUESTO DE SALUD HUARPA,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2019,4,90205,HUANCAVELICA,ACOBAMBA,MARCAS,GOBIERNO REGIONAL,I-1,3929,PUESTO DE SALUD CUÑI,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,90205,HUANCAVELICA,ACOBAMBA,MARCAS,GOBIERNO REGIONAL,I-2,3928,PUESTO DE SALUD MARCAS,3,3,0,0,0,0,1,1,0,0,0,1,0,2,0,1
2019,4,90205,HUANCAVELICA,ACOBAMBA,MARCAS,GOBIERNO REGIONAL,I-1,11232,PUESTO DE SALUD PALOMA,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2019,4,60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,ESSALUD,I-3,10278,CENTRO MEDICO ESSALUD CAJABAMBA,11,11,0,2,0,0,3,1,1,1,1,2,0,6,1,1
2019,4,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,PRIVADO,II-E,8269,SERVICIOS MEDICOS LIONEL FLORES E HIJOS SAC - CLINICA SAN MARTIN,16,18,16,46,0,0,5,1,1,1,2,1,1,16,2,0
